Year,State,Region,Number of People by Medicare-Medicaid Enrollment Type,Number of People,Number of People with FFS,Number of Females with FFS,Number of Males with FFS,A%_<40,A%_40-64,A%_65-84,A%_85+,F%,M%,White%,AfrA%,His%,Asian%,Indig%,Unknown%,ha%,af%,hf%,dm%,hc%,hyp%,ihd%,strokeorTIA%,obesity%,pad%,Number of FFS people who used Medicare procedures,Number of FFS people who used Medicare imaging services,Number of FFS people who used Medicare laboratory/testing services,Number of FFS people who used Medicare durable medical equipment,Number of people who used Medicare Part D prescription drugs,Total Medicare payments,Total Medicare IP Hospital FFS payments,Total Medicare Other IP Hospital FFS payments,Total Medicare Part B drug FFS payments,Total Medicare procedure FFS payments,Total Medicare imaging FFS payments,Total Medicare durable medical equipment FFS payments,Total Medicare Part D prescription drug FFS costs (total RX cost),Number of FFS people who used Medicaid lab/xray services,Number of FFS people who used Medicaid durable medical equipment services,Number of FFS people who used Medicaid drugs,Number of FFS people who used Medicaid clinic services,Total Medicaid FFS payments,Total Medicaid lab/xray FFS payments,Total Medicaid durable medical equipment FFS payments,Total Medicaid drug FFS payments,Total Medicaid clinic payments
2010,CT,Northeast,Medicare Only,455930,335014,184550,150464,0.0059,0.0684,0.777,0.149,0.54,0.46,0.898,0.0497,0.0115,0.0279,0.0006,0.0121,0.0086,0.104,0.134,0.229,0.48,0.57,0.285,0.0329,0.0384,0.1,213825,230822,267728,75918,183918,3922012673,1092873996,25059692,118699951,209822883,88681379,48572127,219520450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,CT,Northeast,Medicaid Only (Disability),31962,31838,16969,14869,0.338,0.652,NaN,NaN,0.533,0.467,0.449,0.227,0.0132,0.0017,0.0018,0.304,0.0035,0.0139,0.0614,0.22,0.152,0.286,0.106,0.0192,0.0853,0.0198,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25641,18986,27442,13135,859149214,30290112,52432915,176593689,20394099
2010,DC,Northeast,Full Benefit,20252,20094,12062,8032,0.0767,0.333,0.47,0.12,0.601,0.399,0.06,0.861,0.0199,0.0504,0.0007,0.0075,0.0099,0.0377,0.215,0.386,0.329,0.637,0.257,0.0758,0.114,0.168,9558,12405,13488,6051,17511,422122064,148324848,4976050,3100480,12299160,4780509,6043975,73207922,10568,8787,7480,2881,444465768,1512858,7431694,3955470,1461410
2010,DC,Northeast,Partial Benefit,5586,5585,3096,2489,0.0261,0.348,0.564,0.0625,0.554,0.446,0.0859,0.857,0.0077,0.0433,NaN,NaN,0.0077,0.0337,0.171,0.356,0.382,0.616,0.241,0.0485,0.0988,0.111,2674,3449,3965,1575,4767,102745031,33858588,1003794,1203922,3946014,1514692,1263879,20708040,2297,1006,224,748,5599223,259995,258912,346139,151477
2010,DC,Northeast,Medicare Only,56988,39134,22523,16611,0.0092,0.0574,0.751,0.182,0.566,0.434,0.366,0.579,0.0122,0.0228,0.0002,0.02,0.0063,0.0536,0.119,0.235,0.365,0.506,0.229,0.0364,0.0343,0.0985,22542,26641,29860,8120,14261,413009232,145696694,2257534,7920598,23030248,11118560,5081270,19292579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,DC,Northeast,Medicaid Only (Disability),28257,24837,11189,13648,0.451,0.527,NaN,NaN,0.439,0.561,0.031,0.897,NaN,0.0015,NaN,0.0191,0.0028,0.0093,0.0736,0.181,0.105,0.319,0.0881,0.0258,0.0726,0.0323,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17659,11141,17623,8266,692865433,11506260,11003118,70982375,11069461
2010,DE,Northeast,Full Benefit,11749,11659,7457,4202,0.126,0.33,0.369,0.175,0.64,0.36,0.54,0.353,0.0352,0.0595,0.0014,0.0102,0.0104,0.0729,0.223,0.366,0.404,0.612,0.344,0.0925,0.119,0.265,7377,8230,9022,3942,10652,254802431,64528948,4116900,3105656,7006903,3239902,4531246,57813150,7004,1851,5852,1420,316026397,626927,1069250,2369664,1529610
2010,DE,Northeast,Partial Benefit,13512,13512,8633,4879,0.0656,0.402,0.442,0.0898,0.639,0.361,0.601,0.322,0.0138,0.0521,0.0014,0.0095,0.0094,0.0569,0.16,0.332,0.495,0.597,0.299,0.0424,0.118,0.13,7664,9428,10064,4692,12110,203017668,54260605,4390262,3514381,8167634,3376094,3862255,49529960,4648,308,1062,1071,11846047,340976,160621,1096033,747404
2010,DE,Northeast,Medicare Only,130947,118276,63965,54311,0.0072,0.101,0.782,0.11,0.535,0.465,0.844,0.121,0.0107,0.0138,0.0003,0.0097,0.0077,0.0875,0.131,0.28,0.585,0.618,0.324,0.0404,0.0699,0.124,76749,84730,94641,31214,51231,1115957343,343992837,6060586,29808579,77910206,31344193,21003408,70203880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,DE,Northeast,Medicaid Only (Disability),13919,3661,1666,1995,0.661,0.336,NaN,NaN,0.464,0.536,0.467,0.442,0.0093,0.0766,NaN,NaN,NaN,0.0109,0.038,0.119,0.0743,0.15,0.0669,0.0265,0.0347,0.0229,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9323,5913,11311,794,184700703,1942243,1422335,44587063,877622
2010,FL,Southeast,Full Benefit,359462,351317,224326,126991,0.0772,0.218,0.518,0.186,0.639,0.361,0.408,0.197,0.0234,0.361,0.0012,0.0095,0.0115,0.0632,0.228,0.339,0.382,0.566,0.377,0.0756,0.0903,0.203,194340,220922,242741,117202,326319,8441449973,1636084263,91750440,81108447,207454266,116228578,124872562,1502353464,123121,117811,115239,13843,3936480373,11780181,59221193,21267822,5460444
2010,FL,Southeast,Partial Benefit,312322,311700,181585,130115,0.0553,0.329,0.547,0.0689,0.583,0.417,0.495,0.215,0.0113,0.27,0.0012,0.0077,0.0062,0.0294,0.106,0.206,0.258,0.336,0.218,0.0277,0.0702,0.0777,104120,128258,140893,66898,280894,5331222460,790256795,64811424,58872824,139821812,70509165,74910739,972051586,55011,42250,8170,2318,200116561,6975598,18589462,8023960,1146819
2010,FL,Southeast,Medicare Only,2848451,1893746,1009652,884093,0.0056,0.0826,0.78,0.132,0.528,0.472,0.829,0.0684,0.0088,0.0842,0.0005,0.0088,0.0083,0.094,0.136,0.256,0.553,0.585,0.372,0.0407,0.0481,0.108,1325614,1395328,1563899,534753,1398254,27617055897,4750254688,112985486,777113005,1697635802,773901537,402034844,1621660922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,FL,Southeast,Medicaid Only (Disability),362308,136770,60671,76027,0.566,0.419,NaN,NaN,0.46,0.54,0.3,0.251,0.0072,0.14,0.0019,0.0011,0.0006,0.0132,0.0662,0.127,0.0962,0.201,0.111,0.0332,0.0431,0.026,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,239830,140155,265694,84240,4147260894,119169316,127660513,729504437,48806110
2010,GA,Southeast,Full Benefit,141655,141057,92905,48152,0.108,0.291,0.445,0.157,0.659,0.341,0.466,0.465,0.0388,0.0231,0.0009,0.0067,0.0096,0.052,0.227,0.359,0.334,0.631,0.268,0.0667,0.0961,0.171,76973,90179,100382,48819,129843,2639643642,604142540,41406422,29922324,75330433,30137143,53822940,535138425,86596,60055,52232,19417,1671650335,16775453,15364874,23001732,8906005
2010,GA,Southeast,Partial Benefit,132289,131954,84761,47193,0.0464,0.366,0.523,0.0646,0.642,0.358,0.527,0.437,0.0112,0.0193,0.0008,0.0044,0.0079,0.0415,0.161,0.314,0.355,0.554,0.25,0.0337,0.0948,0.0861,61909,76910,85384,46120,120497,1929126690,388100968,21583352,26290789,67258567,27318914,47790308,452561606,51258,34886,2251,9187,72382215,9401264,6799509,1646173,4654460
2010,GA,Southeast,Medicare Only,1018516,743847,396322,347525,0.0106,0.127,0.765,0.0973,0.533,0.467,0.78,0.19,0.01,0.0123,0.0004,0.0069,0.0078,0.0688,0.126,0.252,0.451,0.572,0.267,0.0345,0.0465,0.0832,456010,508842,588987,217097,482954,8113934265,1821916453,46694302,222923447,433135330,174462532,160569668,678660954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,GA,Southeast,Medicaid Only (Disability),185068,93373,44210,49162,0.56,0.435,NaN,NaN,0.493,0.507,0.274,0.402,0.0082,0.0108,0.0004,0.0003,0.0006,0.0077,0.0621,0.121,0.0743,0.209,0.0698,0.0267,0.0405,0.0221,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,121954,73570,137512,50532,2090893812,111154956,63346061,385033251,30782844
2010,HI,West,Full Benefit,30723,20815,11863,8952,0.0708,0.237,0.524,0.168,0.596,0.404,0.215,0.0134,0.585,0.104,0.0025,0.0801,0.0114,0.0451,0.158,0.323,0.422,0.547,0.221,0.0486,0.0612,0.0643,8424,11786,15563,5132,27860,425088344,83666330,3221047,3070434,8116292,3122815,3086866,109813485,19591,4834,17830,5000,62014684,22703,127810,95913,485970
2010,HI,West,Partial Benefit,4022,3953,2119,1834,0.0326,0.332,0.536,0.0995,0.539,0.461,0.299,0.0157,0.471,0.105,0.0027,0.107,0.0086,0.0278,0.0966,0.2,0.229,0.291,0.147,0.0195,0.0425,0.0397,904,1255,1611,533,3498,51069567,8870369,NaN,129308,892927,344068,288681,12627652,324,97,168,98,297509,13375,7898,2406,24194
2010,HI,West,Medicare Only,181168,90150,46783,43367,0.0059,0.0625,0.779,0.153,0.533,0.467,0.272,0.0066,0.547,0.0562,0.0005,0.118,0.0081,0.0547,0.0947,0.259,0.539,0.548,0.213,0.0358,0.0265,0.0508,43985,53930,66930,13742,99701,1211869500,206535315,2274504,12162618,37733220,13627613,6602196,109139223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,HI,West,Medicaid Only (Disability),16930,1178,540,638,0.434,0.558,NaN,NaN,0.493,0.507,0.333,0.0232,0.587,0.0508,NaN,NaN,NaN,NaN,0.0722,0.107,0.0747,0.141,0.0645,0.0238,0.0374,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11794,3041,12871,4518,65410814,121216,75688,658010,817917
2010,IA,Midwest,Full Benefit,68129,66707,40276,26431,0.133,0.393,0.302,0.172,0.603,0.397,0.904,0.0475,0.017,0.0202,0.0034,0.0076,0.0101,0.0636,0.197,0.306,0.3,0.487,0.24,0.0384,0.11,0.2,40045,42572,45301,25524,63885,1070110466,244426417,18733848,17261327,26387038,9489283,25118068,305921028,43577,40130,37681,9961,1257065542,12358202,19136826,9635165,2347557
2010,IA,Midwest,Partial Benefit,15103,15054,8921,6133,0.0569,0.313,0.558,0.0711,0.593,0.407,0.896,0.0526,0.0146,0.0288,0.0039,0.0041,0.007,0.0434,0.106,0.239,0.285,0.396,0.202,0.0183,0.0747,0.0767,6027,7799,8368,4553,13093,154294063,34503674,1107096,2747254,4733817,1789508,3562151,38338723,4610,3003,542,1279,11034029,1190548,664853,270450,221369
2010,IA,Midwest,Medicare Only,458028,372509,207716,164793,0.0049,0.0648,0.775,0.156,0.548,0.452,0.974,0.0096,0.0035,0.0066,0.0007,0.0056,0.0089,0.086,0.123,0.22,0.405,0.512,0.263,0.0262,0.0411,0.116,229052,251521,277641,109961,260645,3277758033,881519459,11079620,104785613,170235454,61406403,68951161,260270478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,IA,Midwest,Medicaid Only (Disability),38494,4566,2111,2455,0.635,0.365,NaN,NaN,0.482,0.518,0.62,0.0934,0.007,0.0132,0.0041,0.0158,0.0085,0.0142,0.0486,0.124,0.0714,0.173,0.0747,0.0232,0.0491,0.0153,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26887,20632,31942,10388,814450163,26450497,25494276,119363294,7965151
2010,ID,West,Full Benefit,23773,22572,13602,8970,0.162,0.352,0.342,0.144,0.606,0.394,0.868,0.0047,0.0122,0.0849,0.0194,0.0107,0.0069,0.0483,0.174,0.28,0.241,0.402,0.188,0.0355,0.102,0.0617,10815,12714,14593,7994,21405,373114186,68486307,7214453,2439241,9137974,3111096,9195917,103244135,13905,11965,8699,7324,308828836,2248797,5997819,4276884,10759986
2010,ID,West,Partial Benefit,10737,10459,5777,4682,0.0822,0.412,0.455,0.0505,0.556,0.444,0.888,0.0066,0.007,0.0727,0.0179,0.0076,0.0045,0.0311,0.0864,0.211,0.21,0.303,0.146,0.0151,0.0716,0.0321,3925,4733,5241,2725,9226,119622328,19628002,1752529,949607,3726655,1258630,2512065,33313126,3241,1952,344,1326,6604484,469354,461305,166721,326212
2010,ID,West,Medicare Only,205286,133316,68485,64831,0.0079,0.0917,0.781,0.12,0.512,0.488,0.955,0.0017,0.0061,0.0227,0.0064,0.0078,0.0062,0.0715,0.111,0.203,0.325,0.424,0.212,0.0242,0.0375,0.039,75335,80483,88788,36036,98558,1401230303,267453125,4633959,19213132,63663851,18763363,28215045,105860385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,ID,West,Medicaid Only (Disability),23096,6390,3091,3299,0.639,0.356,NaN,NaN,0.492,0.508,0.98,NaN,NaN,0.0031,0.0131,0.0006,0.0023,0.0081,0.0332,0.108,0.0557,0.107,0.0393,0.0121,0.0484,0.0081,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15149,11965,18029,10478,478040167,13514989,14102290,68854798,18224788
2010,IL,Midwest,Full Benefit,301292,299786,182950,116836,0.106,0.34,0.424,0.13,0.61,0.39,0.541,0.282,0.0515,0.114,0.0009,0.0105,0.0117,0.0582,0.257,0.354,0.373,0.589,0.324,0.0658,0.125,0.188,175718,200361,218533,111445,272708,6077097084,1600829227,88388208,77006907,175143713,71370229,114461876,1210639493,167190,140633,167786,44898,3426969862,13637200,103935099,49737522,15777343
2010,IL,Midwest,Partial Benefit,44122,44058,26249,17809,0.0536,0.35,0.52,0.0767,0.596,0.404,0.588,0.268,0.0205,0.116,0.001,0.0071,0.0087,0.0438,0.163,0.29,0.349,0.501,0.267,0.0319,0.103,0.0996,19429,24778,27110,13420,38374,593114351,143644535,7331949,7845628,19276894,7905833,11619854,133060948,7699,5952,3803,2721,30192323,590287,2005884,1104089,629516
2010,IL,Midwest,Medicare Only,1583024,1313154,732647,580506,0.0074,0.0784,0.772,0.143,0.55,0.45,0.834,0.0983,0.016,0.0418,0.0003,0.0096,0.0089,0.0838,0.146,0.245,0.453,0.563,0.295,0.0361,0.0518,0.104,792284,890403,995512,355179,685562,13390774028,3888142521,53050113,410780594,762394770,275531406,237172409,863588335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,IL,Midwest,Medicaid Only (Disability),179284,97285,44184,53101,0.41,0.565,NaN,NaN,0.494,0.506,0.365,0.485,0.0174,0.0644,0.0008,0.0304,0.005,0.0122,0.0989,0.154,0.0925,0.218,0.094,0.0309,0.065,0.029,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,119853,63189,130659,56552,3141198924,83430109,66131105,517292025,42492572
2010,IN,Midwest,Full Benefit,108036,107446,67319,40127,0.114,0.353,0.359,0.174,0.626,0.374,0.819,0.139,0.0109,0.0231,0.0011,0.0069,0.0128,0.0681,0.276,0.361,0.329,0.579,0.328,0.0756,0.13,0.277,69818,74915,80117,41140,100229,2479018687,582203869,37461761,50539228,57068558,23117807,50932030,545087813,49463,36411,64043,53660,2194168842,23267017,58429119,23998312,197343688
2010,IN,Midwest,Partial Benefit,59214,59045,36775,22270,0.119,0.476,0.361,0.0428,0.623,0.377,0.794,0.169,0.0047,0.0259,0.0012,0.0052,0.0071,0.0336,0.128,0.276,0.297,0.443,0.229,0.0267,0.116,0.0756,27131,35289,36559,20366,52492,723186702,154871971,6765520,11387279,21928733,9432841,20237393,209391295,19241,4092,3547,16109,62943373,7228795,6881306,2939110,21307849
2010,IN,Midwest,Medicare Only,886237,691849,380463,311386,0.0102,0.102,0.763,0.125,0.544,0.456,0.92,0.0562,0.0046,0.0124,0.0003,0.0062,0.009,0.0758,0.145,0.256,0.427,0.555,0.298,0.0345,0.0524,0.0974,408173,464441,514931,205793,413563,7022514768,1801990714,28080230,219125156,336997899,129828402,148528933,543667395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,IN,Midwest,Medicaid Only (Disability),90967,46321,23481,22840,0.525,0.472,NaN,NaN,0.51,0.49,0.738,0.217,0.0035,0.0302,0.0008,0.0001,0.0075,0.0165,0.0768,0.162,0.112,0.236,0.112,0.0291,0.0829,0.0386,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65738,42741,73231,52750,1502752904,57300460,60862219,280899251,75423479
2010,KS,Midwest,Full Benefit,46006,43828,27791,16037,0.128,0.336,0.34,0.196,0.635,0.365,0.8,0.111,0.025,0.048,0.0098,0.0062,0.0096,0.0703,0.264,0.331,0.276,0.52,0.278,0.0601,0.108,0.174,27886,30468,33174,16774,42897,865808147,187196242,20876047,12753707,20668421,8691934,19705031,218859346,735,522,742,688,12988869,209476,343071,147363,358613
2010,KS,Midwest,Partial Benefit,20246,19888,11474,8414,0.0877,0.46,0.403,0.0501,0.579,0.421,0.792,0.115,0.0136,0.0613,0.0119,0.0059,0.007,0.0366,0.119,0.256,0.268,0.415,0.212,0.0201,0.0913,0.0651,9183,11865,12712,6548,17780,241346362,51130935,3679820,7479142,8423635,3412267,6202108,67994397,150,77,63,137,738900,90055,49612,36176,38124
2010,KS,Midwest,Medicare Only,387202,321268,177481,143787,0.0082,0.0861,0.76,0.146,0.544,0.456,0.924,0.0361,0.0067,0.0217,0.0041,0.0069,0.0082,0.0778,0.134,0.225,0.389,0.522,0.275,0.0311,0.0436,0.0894,198947,227105,247644,94701,205428,3055724289,782743303,20458476,119863083,169851362,67787161,71904457,250234124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,KS,Midwest,Medicaid Only (Disability),43639,3634,1599,2035,0.577,0.415,NaN,NaN,0.474,0.526,0.703,0.173,0.0112,0.0009,0.0126,0.0787,NaN,NaN,0.0333,0.0828,0.0088,0.0182,0.0322,NaN,0.0325,0.0121,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,353,202,464,255,2990294,182327,101135,659213,130384
2010,KY,Southeast,Full Benefit,104616,94653,58535,36118,0.131,0.331,0.414,0.124,0.621,0.379,0.879,0.101,0.0066,0.0077,0.0006,0.0045,0.0131,0.0672,0.25,0.349,0.379,0.602,0.349,0.0634,0.1,0.164,53320,66693,72403,37823,96741,1835088214,424276109,25690772,17874724,38593139,20997139,39827050,441195201,69377,40454,69191,33798,1263959718,9571287,20875936,21737681,13346941
2010,KY,Southeast,Partial Benefit,75308,75272,44052,31220,0.0721,0.434,0.442,0.0521,0.585,0.415,0.899,0.0886,0.0028,0.0059,0.0005,0.0033,0.0115,0.0473,0.162,0.306,0.398,0.552,0.313,0.0293,0.0976,0.0943,38704,49912,54993,30303,69380,1002695343,258379700,8258961,11979527,32528671,15625223,30699401,266629651,27084,15708,1850,14357,39462220,3850240,3384195,1249017,4113391
2010,KY,Southeast,Medicare Only,615990,478074,249402,228672,0.014,0.17,0.715,0.102,0.519,0.481,0.942,0.0463,0.0029,0.0037,0.0003,0.0052,0.01,0.0722,0.141,0.258,0.444,0.571,0.308,0.0332,0.0508,0.0933,284628,323856,373119,150416,310374,4921979567,1343775900,22703708,105202882,228185431,93233066,116474394,441298811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,KY,Southeast,Medicaid Only (Disability),150121,110115,54438,55677,0.521,0.479,NaN,NaN,0.499,0.501,0.645,0.0893,0.003,NaN,NaN,0.0049,0.0005,0.0081,0.0485,0.15,0.144,0.224,0.108,0.0128,0.049,0.0267,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107033,57192,124079,54433,1607818070,103699772,58986151,345797524,52142854
2010,LA,Southeast,Full Benefit,109791,109321,70091,39230,0.122,0.315,0.423,0.14,0.641,0.359,0.442,0.51,0.0166,0.0238,0.0015,0.0053,0.0101,0.0588,0.253,0.352,0.338,0.641,0.314,0.0771,0.105,0.16,55460,74122,76674,39380,100855,2441155809,478920484,75137098,25237509,52507971,27265452,45011456,446370475,66754,39746,45349,19632,1609480497,9726654,24784571,24300481,6354080
2010,LA,Southeast,Partial Benefit,82826,82720,49543,33177,0.0518,0.341,0.535,0.0728,0.599,0.401,0.5,0.463,0.0068,0.0249,0.0016,0.004,0.0072,0.0395,0.161,0.274,0.314,0.516,0.267,0.0325,0.0805,0.0989,32851,44260,45009,24306,74755,1306290220,215509139,19828703,10800915,35303536,16677908,24881166,267189183,23817,13950,1822,7607,38695746,3368376,5976840,1682160,1775748
2010,LA,Southeast,Medicare Only,530018,357313,185132,172181,0.0103,0.127,0.748,0.115,0.515,0.485,0.773,0.193,0.005,0.021,0.0009,0.0069,0.0076,0.0751,0.144,0.252,0.43,0.582,0.322,0.0372,0.0485,0.0925,215390,247053,266964,98869,245526,4716000484,847085957,40699099,89884350,200652942,93945428,75767466,340439502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,LA,Southeast,Medicaid Only (Disability),144058,78097,31866,46229,0.559,0.44,NaN,NaN,0.482,0.518,0.322,0.577,0.005,0.0074,0.0039,0.0007,0.006,0.0075,0.0434,0.0728,0.0374,0.146,0.0517,0.023,0.0257,0.0134,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96960,51304,112276,30163,2029725138,76056363,40651590,403932348,24616635
2010,MA,Northeast,Full Benefit,248796,235322,139695,95624,0.116,0.387,0.356,0.141,0.599,0.401,0.686,0.0907,0.052,0.146,0.0014,0.024,0.0083,0.061,0.151,0.285,0.335,0.479,0.226,0.0425,0.116,0.132,131599,155274,163057,70996,228894,4468411733,1034536238,153763779,40169491,99026622,47199783,58160335,947416680,144564,95653,131773,25882,3676046852,18969934,34091780,29574028,14111867
2010,MA,Northeast,Partial Benefit,23247,22806,14812,7994,0.0131,0.0651,0.772,0.15,0.65,0.35,0.795,0.0796,0.0239,0.0859,0.001,0.015,0.0086,0.0636,0.122,0.251,0.354,0.476,0.23,0.0272,0.0621,0.0818,9555,12435,12754,5563,20539,306839633,68695483,3302279,1918005,7884224,3683084,3240959,54916087,1342,905,867,1033,5446353,149826,153112,193591,173985
2010,MA,Northeast,Medicare Only,841323,580033,323616,256417,0.0059,0.0753,0.767,0.152,0.55,0.45,0.928,0.0275,0.0115,0.0195,0.0003,0.0129,0.0091,0.101,0.129,0.219,0.46,0.562,0.27,0.0346,0.05,0.104,363398,401770,436126,132201,362719,7465307886,1902488982,63266049,94021592,312542471,123301509,75854406,401575494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,MA,Northeast,Medicaid Only (Disability),219209,98228,53373,44855,0.665,0.335,NaN,NaN,0.526,0.474,0.503,0.122,0.0162,0.0036,0.0021,0.168,0.0005,0.0028,0.0095,0.0268,0.0129,0.0276,0.0146,0.0044,0.0105,0.0036,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94839,50985,110603,23178,1786068796,65611074,31135118,275569137,25972486
2010,MD,Southeast,Full Benefit,77321,77000,48135,28865,0.132,0.311,0.394,0.162,0.625,0.375,0.464,0.402,0.0802,0.0396,0.0012,0.0129,0.0101,0.0589,0.208,0.346,0.357,0.572,0.286,0.0756,0.111,0.218,42669,48670,53874,23091,69505,1663121425,542709707,12510268,19258799,44715097,23769193,22535388,315490168,40691,28081,28725,4806,1701633154,9969862,34855474,8633963,774969
2010,MD,Southeast,Partial Benefit,39944,39927,25076,14851,0.0518,0.375,0.502,0.0718,0.628,0.372,0.47,0.452,0.0358,0.0334,0.0011,0.0085,0.0109,0.0474,0.175,0.348,0.405,0.581,0.29,0.044,0.123,0.125,20667,25691,28360,13705,36043,766994240,251539769,4495558,10371263,24750910,12565871,13001776,155352305,13554,8685,1178,2139,43326385,3536723,5508828,485786,279500
2010,MD,Southeast,Medicare Only,704686,578568,325143,253425,0.0072,0.0858,0.774,0.133,0.551,0.449,0.741,0.208,0.0234,0.0157,0.0004,0.0119,0.0087,0.0793,0.135,0.267,0.489,0.587,0.293,0.0413,0.0545,0.131,370822,408221,469041,151617,244992,6598083775,2448628861,14499525,166212766,382471921,197421569,100706892,346757411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,MD,Southeast,Medicaid Only (Disability),98738,32568,13588,18980,0.512,0.488,NaN,NaN,0.452,0.548,0.334,0.568,0.0148,0.0215,0.0024,0.0002,0.008,0.0162,0.0788,0.127,0.071,0.218,0.101,0.0443,0.053,0.0338,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48203,19555,74972,9897,1474018018,23685861,26597814,165481315,4999880
2010,ME,Northeast,Full Benefit,53760,53607,31714,21893,0.141,0.386,0.347,0.126,0.592,0.408,0.96,0.0079,0.0081,0.0082,0.0073,0.0086,0.0119,0.059,0.146,0.271,0.351,0.445,0.235,0.0376,0.116,0.0828,27491,34479,33453,18024,49934,735421821,166803542,12322375,7846911,18442192,7132061,16161447,202579824,500,321,473,211,7273334,122509,150572,63485,127352
2010,ME,Northeast,Partial Benefit,45918,45791,27021,18770,0.0185,0.212,0.631,0.138,0.59,0.41,0.981,0.0032,0.0025,0.0037,0.0029,0.0069,0.0129,0.0786,0.137,0.27,0.432,0.518,0.279,0.0289,0.0799,0.0835,22545,29149,27993,14342,41032,530100822,124986584,3326310,7391215,17581547,6081507,11585278,115759413,108,62,32,41,576175,13921,19152,7801,7339
2010,ME,Northeast,Medicare Only,177510,138163,71459,66704,0.0074,0.0977,0.781,0.114,0.507,0.493,0.982,0.0023,0.0028,0.003,0.0014,0.0086,0.0098,0.0837,0.102,0.198,0.426,0.491,0.236,0.0266,0.0435,0.0685,73955,87669,87222,29323,70741,1136682334,298067544,3583857,25533679,57119886,18008105,18031235,68610933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,ME,Northeast,Medicaid Only (Disability),31189,19844,8886,10957,0.507,0.487,NaN,NaN,0.496,0.504,0.856,0.0186,0.0059,0.0022,0.0114,0.0198,NaN,NaN,0.0026,0.0057,0.0026,0.0036,0.0047,NaN,0.0019,0.0011,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,174,88,244,91,1565523,71143,33313,305873,NaN
2010,MI,Midwest,Full Benefit,242633,229881,140796,89085,0.139,0.385,0.358,0.118,0.614,0.386,0.662,0.261,0.0253,0.0316,0.0055,0.0151,0.0128,0.0554,0.258,0.361,0.374,0.576,0.37,0.0673,0.128,0.183,146110,166941,169067,91264,218586,4671760781,1239332253,90348504,59488116,141363530,63273433,95863169,995987460,79349,80245,126639,20487,1778881416,3583498,25936569,28933502,1873537
2010,MI,Midwest,Partial Benefit,41619,41237,24013,17224,0.0627,0.438,0.43,0.0692,0.582,0.418,0.742,0.209,0.007,0.0284,0.0057,0.008,0.0101,0.0453,0.18,0.314,0.359,0.503,0.32,0.0377,0.111,0.119,21393,26130,26726,14403,36853,630175399,151501711,10309924,8241331,22307756,9204850,14278578,149747846,3365,3083,3663,860,26490411,223507,567576,1004096,264095
